country,year,local_price,dollar_price,hourly_wage_usd,bigmacs_per_hour
Australia,2001,3.0,3.0,11.9840660981339,3.9946886993779667
Brazil,2001,3.6,1.8,1.16420604616685,0.6467811367593611
Canada,2001,3.33,3.33,7.97220992566682,2.394057034734781
Chile,2001,1260.0,2.1,2.17279717040111,1.034665319238624
Hungary,2001,399.0,1.32,2.96885425899762,2.2491320143921363
Japan,2001,294.0,2.37,6.272503327047,2.646625876391139
Mexico,2001,21.9,2.43,0.990852592055693,0.4077582683356761
New Zealand,2001,3.6,1.8,7.91960557590345,4.399780875501917
Poland,2001,5.9,1.48,3.76255575353275,2.542267401035642
United States,2001,2.24,2.24,8.51189469597135,3.799952989272924
Australia,2002,3.0,3.0,12.1007607418114,4.033586913937133
Brazil,2002,3.6,1.8,1.21175882453538,0.6731993469641
Canada,2002,3.33,3.33,7.8884043230375,2.3688901870983483
Chile,2002,1400.0,2.14,2.23540159790707,1.0445801859378832
Hungary,2002,459.0,1.69,3.52574282653302,2.086238358895278
Israel,2002,12.0,3.0,5.62737106397102,1.8757903546570065
Japan,2002,262.0,2.02,6.37486876019285,3.1558756238578467
Mexico,2002,21.9,2.43,0.997882308489107,0.41065115575683414
New Zealand,2002,3.6,1.8,7.98463625652375,4.435909031402083
Poland,2002,5.9,1.48,3.69220851252411,2.4947354814352094
United States,2002,2.35,2.35,8.37900108871899,3.5655323781782937
Australia,2003,3.0,3.0,12.2579105542132,4.085970184737733
Brazil,2003,4.55,1.52,1.24591814353655,0.8196829891687829
Canada,2003,3.2,3.2,7.77764778605218,2.430514933141306
Chile,2003,1400.0,1.96,2.26618693944443,1.1562178262471583
Hungary,2003,490.0,2.19,3.36872593952143,1.538231022612525
Japan,2003,262.0,2.18,6.42324163098624,2.946441115131303
Mexico,2003,23.0,2.3,0.997475506554325,0.43368500284970657
New Zealand,2003,3.95,3.95,8.29176361379717,2.0991806617208026
Poland,2003,6.3,2.1,3.86018182401276,1.838181820958457
United States,2003,2.46,2.46,8.19301193657981,3.330492657146264
Australia,2004,3.25,3.25,12.4750651336041,3.838481579570492
Brazil,2004,5.4,1.8,1.28738449807424,0.7152136100412444
Canada,2004,3.19,3.19,7.79008986062903,2.4420344390686615
Chile,2004,1400.0,2.18,2.32952754265449,1.068590615896555
Colombia,2004,6500.0,2.35,2.31738859270243,0.9861228054052893
Costa Rica,2004,1130.0,2.61,3.04901487838238,1.1682049342461227
Hungary,2004,530.0,2.51,3.34486382201113,1.3326150685303308
Japan,2004,262.0,2.32,6.43399206286421,2.7732724408897456
Mexico,2004,24.0,2.18,0.993343656537639,0.45566222776955917
New Zealand,2004,4.35,4.35,8.5795336088309,1.9723065767427357
Poland,2004,6.3,2.1,3.84589423145254,1.8313782054535905
United States,2004,2.47,2.47,7.97938491573279,3.2305202087987
Australia,2005,3.25,3.25,12.5748621723288,3.869188360716554
Brazil,2005,5.9,2.95,1.36313605657378,0.46208001917755254
Canada,2005,3.28,3.28,7.85854421762164,2.395897627323671
